,Riding
1,Abbotsford-Mission
2,Abbotsford South
3,Abbotsford West
4,Boundary-Similkameen
5,Burnaby-Deer Lake
6,Burnaby-Edmonds
7,Burnaby-Lougheed
8,Burnaby North
9,Cariboo-Chilcotin
10,Cariboo North
11,Chilliwack
12,Chilliwack-Kent
13,Columbia River-Revelstoke
14,Coquitlam-Burke Mountain
15,Coquitlam-Maillardville
16,Courtenay-Comox
17,Cowichan Valley
18,Delta North
19,Delta South
20,Esquimalt-Metchosin
21,Fraser-Nicola
22,Kamloops-North Thompson
23,Kamloops-South Thompson
24,Kelowna-Lake Country
25,Kelowna-Mission
26,Kelowna West
27,Kootenay East
28,Kootenay West
29,Langford-Juan de Fuca
30,Langley
31,Langley East
32,Maple Ridge-Mission
33,Maple Ridge-Pitt Meadows
34,Mid Island-Pacific Rim
35,Nanaimo
36,Nanaimo-North Cowichan
37,Nechako Lakes
38,Nelson-Creston
39,New Westminster
40,North Coast
41,North Island
42,North Vancouver-Lonsdale
43,North Vancouver-Seymour
44,Oak Bay-Gordon Head
45,Parksville-Qualicum
46,Peace River North
47,Peace River South
48,Penticton
49,Port Coquitlam
50,Port Moody-Coquitlam
51,Powell River-Sunshine Coast
52,Prince George-Mackenzie
53,Prince George-Valemount
54,Richmond North Centre
55,Richmond-Queensborough
56,Richmond South Centre
57,Richmond-Steveston
58,Saanich North and the Islands
59,Saanich South
60,Shuswap
61,Skeena
62,Stikine
63,Surrey-Cloverdale
64,Surrey-Fleetwood
65,Surrey-Green Timbers
66,Surrey-Guildford
67,Surrey-Newton
68,Surrey-Panorama
69,Surrey South
70,Surrey-Whalley
71,Surrey-White Rock
72,Vancouver-Fairview
73,Vancouver-False Creek
74,Vancouver-Fraserview
75,Vancouver-Hastings
76,Vancouver-Kensington
77,Vancouver-Kingsway
78,Vancouver-Langara
79,Vancouver-Mount Pleasant
80,Vancouver-Point Grey
81,Vancouver-Quilchena
82,Vancouver-West End
83,Vernon-Monashee
84,Victoria-Beacon Hill
85,Victoria-Swan Lake
86,West Vancouver-Capilano
87,West Vancouver-Sea to Sky
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,
202,
203,
204,
205,
206,
207,
208,
209,
210,
211,
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,
224,
225,
226,
227,
228,
229,
230,
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,
252,
253,
254,
255,
256,
257,
258,
259,
260,
261,
262,
263,
264,
265,
266,
267,
268,
269,
270,
271,
272,
273,
274,
275,
276,
