Riding,Candidate Name,Party
Abbotsford-Mission,Dan Cameron,Christian Heritage Party of B.C.
Abbotsford-Mission,Andrew Murray Christie,BC NDP
Abbotsford-Mission,Simon John Gibson,BC Liberal Party
Abbotsford South,Jasleen Arora,BC NDP
Abbotsford South,Ron Gray,Christian Heritage Party of B.C.
Abbotsford South,Darryl Plecas,BC Liberal Party
Abbotsford West,Michael de Jong,BC Liberal Party
Abbotsford West,Preet Rai,BC NDP
Abbotsford West,Lynn Simcox,Christian Heritage Party of B.C.
Boundary-Similkameen,Linda Margaret Larson,BC Liberal Party
Boundary-Similkameen,Colleen Ross,BC NDP
Burnaby-Deer Lake,Elias Ishak,Independent
Burnaby-Deer Lake,Anne Kang,BC NDP
Burnaby-Deer Lake,Rick McGowan,BC Green Party
Burnaby-Deer Lake,Karen Xiao Bao Wang,BC Liberal Party
Burnaby-Edmonds,Raj Chouhan,BC NDP
Burnaby-Edmonds,Garrison Duke,BC Liberal Party
Burnaby-Edmonds,Valentine Wu,BC Green Party
Burnaby-Lougheed,Katrina Chen,BC NDP
Burnaby-Lougheed,Steve Darling,BC Liberal Party
Burnaby-Lougheed,Joe Keithley,BC Green Party
Burnaby North,Peter Hallschmid,BC Green Party
Burnaby North,Richard T. Lee,BC Liberal Party
Burnaby North,Janet Routledge,BC NDP
Cariboo-Chilcotin,Donna Barnett,BC Liberal Party
Cariboo-Chilcotin,Rita Helen Giesbrecht,BC Green Party
Cariboo-Chilcotin,Sally Watson,BC NDP
Cariboo North,Scott Elliott,BC NDP
Cariboo North,Tony Goulet,BC Conservative Party
Cariboo North,Coralee Ella Oakes,BC Liberal Party
Chilliwack,Wayne Froese,BC Green Party
Chilliwack,John Martin,BC Liberal Party
Chilliwack,Ryan McKinnon,Independent
Chilliwack,Tracey Lorrean O'Hara,BC NDP
Chilliwack-Kent,Patti MacAhonic,BC NDP
Chilliwack-Kent,Laurie Throness,BC Liberal Party
Columbia River-Revelstoke,Samson Boyer,BC Green Party
Columbia River-Revelstoke,Doug Clovechok,BC Liberal Party
